Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
29,Female,1,Human Resources Coordinator,2,45000,China,Chinese,0
23,Male,0,Sales Associate,1,25000,USA,Asian,0
32,Female,2,Software Developer,7,90000,USA,African American,0
44,Male,1,Operations Manager,18,170000,USA,Hispanic,0
26,Female,1,Marketing Coordinator,2,40000,Canada,Asian,0
40,Male,3,Data Scientist,15,150000,UK,Mixed,0
33,Female,1,Human Resources Manager,8,95000,Australia,Australian,0
24,Male,0,Sales Associate,1,25000,USA,Hispanic,0
35,Female,2,Marketing Manager,10,110000,Canada,Asian,0
29,Male,1,Software Engineer,4,70000,Australia,Australian,0
49,Male,3,Data Scientist,22,220000,UK,White,0
26,Female,1,Software Developer,2,35000,USA,African American,0
41,Female,2,Human Resources Manager,13,140000,China,Chinese,0
36,Male,1,Operations Manager,9,110000,UK,Asian,0
28,Female,0,Sales Associate,1,25000,China,White,0
43,Male,3,Data Scientist,16,160000,USA,White,0
29,Male,1,Software Developer,5,80000,UK,White,0
39,Female,2,Marketing Coordinator,11,120000,Canada,Black,0
32,Male,1,Operations Manager,6,90000,UK,Asian,0
28,Female,2,Human Resources Coordinator,2,45000,USA,Asian,0
40,Male,3,Data Scientist,15,150000,UK,Welsh,0
33,Female,1,Human Resources Manager,8,95000,USA,Hispanic,0
24,Male,0,Sales Associate,1,25000,UK,Asian,0
35,Female,2,Marketing Manager,10,110000,Australia,White,0
29,Male,1,Software Engineer,4,70000,UK,Mixed,0
49,Male,3,Data Scientist,22,220000,UK,Mixed,0
26,Female,1,Software Developer,2,35000,USA,Asian,0
41,Female,2,Human Resources Manager,13,140000,Australia,White,0
36,Male,1,Operations Manager,9,110000,China,Korean,0
28,Female,0,Sales Associate,1,25000,China,Chinese,0
43,Male,3,Data Scientist,16,160000,UK,Welsh,0
29,Male,1,Software Developer,5,80000,China,Chinese,0
39,Female,2,Marketing Coordinator,11,120000,China,Korean,0
32,Male,1,Operations Manager,6,90000,Australia,Australian,0
28,Female,2,Human Resources Coordinator,2,45000,USA,Hispanic,0
40,Male,3,Data Scientist,15,150000,USA,Asian,0
33,Female,1,Human Resources Manager,8,95000,Canada,Asian,0
24,Male,0,Sales Associate,1,25000,Australia,Australian,0
35,Female,2,Marketing Manager,10,110000,Australia,Asian,0
29,Male,1,Software Engineer,4,70000,Canada,Asian,0
49,Male,3,Data Scientist,22,220000,China,White,0
26,Female,1,Software Developer,2,35000,China,Chinese,0
41,Female,2,Human Resources Manager,13,140000,USA,African American,0
36,Male,1,Operations Manager,9,110000,USA,African American,0
28,Female,0,Sales Associate,1,25000,Australia,Asian,0
43,Male,3,Data Scientist,16,160000,Australia,Australian,0
29,Male,1,Software Developer,5,80000,China,White,0
39,Female,2,Marketing Coordinator,11,120000,USA,Hispanic,0
32,Male,1,Operations Manager,6,90000,USA,African American,0
28,Female,2,Human Resources Coordinator,2,45000,Australia,Australian,0
40,Male,3,Data Scientist,15,150000,Australia,Australian,0
33,Female,1,Human Resources Manager,8,95000,UK,White,0
24,Male,0,Sales Associate,1,25000,Canada,Asian,0
35,Female,2,Marketing Manager,10,110000,UK,Welsh,0
29,Male,1,Software Engineer,4,70000,China,Chinese,0
49,Male,3,Data Scientist,22,220000,Australia,Asian,0
26,Female,1,Software Developer,2,35000,Australia,Asian,0
41,Female,2,Human Resources Manager,13,140000,UK,Asian,0
36,Male,1,Operations Manager,9,110000,Australia,Asian,0
28,Female,0,Sales Associate,1,25000,UK,White,0
43,Male,3,Data Scientist,16,160000,UK,Mixed,0
29,Male,1,Software Developer,5,80000,Australia,Australian,0
39,Female,2,Marketing Coordinator,11,120000,China,Chinese,0
32,Male,1,Operations Manager,6,90000,USA,White,0
28,Female,2,Human Resources Coordinator,2,45000,USA,White,0
40,Male,3,Data Scientist,15,150000,Canada,Asian,0
33,Female,1,Human Resources Manager,8,95000,China,Chinese,0
24,Male,0,Sales Associate,1,25000,Canada,Black,0
35,Female,2,Marketing Manager,10,110000,USA,White,0
29,Male,1,Software Engineer,4,70000,China,White,0
49,Male,3,Data Scientist,22,220000,Canada,White,0
26,Female,1,Software Developer,2,35000,China,White,0
41,Female,2,Human Resources Manager,13,140000,USA,Hispanic,0
36,Male,1,Operations Manager,9,110000,USA,Hispanic,0
28,Female,0,Sales Associate,1,25000,USA,African American,0
43,Male,3,Data Scientist,16,160000,Canada,Black,0
29,Male,1,Software Developer,5,80000,Australia,Australian,0
39,Female,2,Marketing Coordinator,11,120000,China,Chinese,0
